neuron	0	2499	4999	7499	9998
0	current_calc	0.0119024	0.689038	0.686242	0.682726	0.701971
1	current_calc	0.0119032	0.697669	0.711861	0.694835	0.699255
2	current_calc	0.00990849	0.69201	0.703457	0.686189	0.687399
3	current_calc	0.00990928	0.702907	0.690339	0.68726	0.695675
4	current_calc	0.0158607	0.703655	0.699573	0.688261	0.690215
5	current_calc	0.0118889	0.696749	0.706769	0.711713	0.714642
6	current_calc	0.0118905	0.703844	0.69846	0.6786	0.685904
7	current_calc	0.0119048	0.698643	0.690324	0.688046	0.698411
8	current_calc	0.0118911	0.693206	0.699662	0.725299	0.714834
9	current_calc	0.0138775	0.690643	0.688127	0.685942	0.686422
10	current_calc	0.0118907	0.697295	0.69318	0.68986	0.693858
11	current_calc	0.0138874	0.711076	0.694433	0.703198	0.719807
12	current_calc	0.0138906	0.688578	0.695417	0.722202	0.705448
13	current_calc	0.0099073	0.687407	0.706556	0.702313	0.694981
14	current_calc	0.0138763	0.703668	0.700112	0.684971	0.687945
15	current_calc	0.00990829	0.697074	0.698786	0.71757	0.701811
16	current_calc	0.0118929	0.698176	0.705314	0.693321	0.683109
17	current_calc	0.0119048	0.688813	0.697173	0.715141	0.727576
18	current_calc	0.0118929	0.702984	0.693643	0.684588	0.69403
19	current_calc	0.0118798	0.716053	0.711062	0.700996	0.699516
20	current_calc	0.0118834	0.699834	0.690714	0.702661	0.681283
21	current_calc	0.00991007	0.703185	0.690351	0.701121	0.698721
22	current_calc	0.0119028	0.697554	0.696994	0.674224	0.682782
23	current_calc	0.00991067	0.691914	0.701266	0.715085	0.708106
24	current_calc	0.0118938	0.679662	0.695527	0.707912	0.697061
25	current_calc	0.00990987	0.686112	0.708787	0.718394	0.692774
26	current_calc	0.00990967	0.707808	0.706013	0.698328	0.698458
27	current_calc	0.00990809	0.701615	0.68843	0.693409	0.694669
28	current_calc	0.00990968	0.714848	0.701303	0.681931	0.70495
29	current_calc	0.0118905	0.696359	0.707071	0.696056	0.689817
30	current_calc	0.0118875	0.700245	0.707089	0.706693	0.714007
31	current_calc	0.00990987	0.708381	0.710835	0.687447	0.692636
32	current_calc	0.0118974	0.6993	0.700536	0.711261	0.700021
33	current_calc	0.00991027	0.68943	0.697424	0.714002	0.707759
34	current_calc	0.0118905	0.71001	0.703937	0.690691	0.704548
35	current_calc	0.0138776	0.707713	0.696988	0.702447	0.702843
36	current_calc	0.0118883	0.695113	0.701535	0.682293	0.696572
37	current_calc	0.0158561	0.694895	0.7052	0.726408	0.709246
38	current_calc	0.00990848	0.704764	0.692035	0.708957	0.70618
39	current_calc	0.0138717	0.705594	0.701568	0.71799	0.708613
40	current_calc	0.00991106	0.686509	0.689927	0.68578	0.68511
41	current_calc	0.013865	0.716798	0.69987	0.709808	0.699168
