#step: creations deletions netto
50000: 7820 32143 -24323
50100: 3032 1168 1864
50200: 1379 426 953
50300: 768 378 390
50400: 530 316 214
50500: 403 260 143
50600: 380 252 128
50700: 333 236 97
50800: 297 204 93
50900: 303 212 91
51000: 300 219 81
51100: 268 191 77
51200: 259 184 75
51300: 268 196 72
51400: 257 201 56
51500: 246 174 72
51600: 251 175 76
51700: 237 158 79
51800: 250 160 90
51900: 233 168 65
52000: 240 158 82
52100: 225 147 78
52200: 202 146 56
52300: 236 183 53
52400: 215 146 69
52500: 223 147 76
52600: 233 148 85
52700: 215 147 68
52800: 212 146 66
52900: 221 139 82
53000: 209 131 78
53100: 201 151 50
53200: 204 126 78
53300: 188 106 82
53400: 178 116 62
53500: 172 129 43
53600: 191 142 49
53700: 196 135 61
53800: 207 147 60
53900: 184 105 79
54000: 191 119 72
54100: 210 135 75
54200: 192 122 70
54300: 190 134 56
54400: 191 109 82
54500: 200 154 46
54600: 203 125 78
54700: 190 126 64
54800: 190 119 71
54900: 204 121 83
55000: 169 111 58
55100: 176 121 55
55200: 185 138 47
55300: 181 114 67
55400: 170 90 80
55500: 149 98 51
55600: 183 131 52
55700: 161 90 71
55800: 165 100 65
55900: 176 121 55
56000: 160 115 45
56100: 175 119 56
56200: 180 112 68
56300: 174 84 90
56400: 177 129 48
56500: 179 133 46
56600: 181 134 47
56700: 155 98 57
56800: 167 109 58
56900: 168 105 63
57000: 164 108 56
57100: 152 83 69
57200: 161 100 61
57300: 176 140 36
57400: 182 117 65
57500: 167 125 42
57600: 171 98 73
57700: 170 117 53
57800: 149 100 49
57900: 168 102 66
58000: 154 102 52
58100: 161 101 60
58200: 160 88 72
58300: 153 96 57
58400: 161 103 58
58500: 165 99 66
58600: 152 91 61
58700: 152 101 51
58800: 166 103 63
58900: 180 101 79
59000: 150 111 39
59100: 136 90 46
59200: 150 103 47
59300: 152 112 40
59400: 153 127 26
59500: 157 122 35
59600: 158 85 73
59700: 158 101 57
59800: 154 98 56
59900: 145 100 45
60000: 173 93 80
60100: 141 115 26
60200: 164 106 58
60300: 157 122 35
60400: 168 94 74
60500: 155 80 75
60600: 152 109 43
60700: 171 103 68
60800: 143 80 63
60900: 144 84 60
61000: 152 78 74
61100: 173 90 83
61200: 149 83 66
61300: 152 110 42
61400: 146 77 69
61500: 172 114 58
61600: 152 118 34
61700: 152 81 71
61800: 149 96 53
61900: 150 103 47
62000: 154 109 45
62100: 148 97 51
62200: 156 92 64
62300: 151 95 56
62400: 134 96 38
62500: 140 82 58
62600: 147 85 62
62700: 156 116 40
62800: 141 99 42
62900: 153 107 46
63000: 134 102 32
63100: 150 109 41
63200: 146 90 56
63300: 149 107 42
63400: 149 94 55
63500: 156 113 43
63600: 153 102 51
63700: 164 91 73
63800: 146 88 58
63900: 132 86 46
64000: 132 80 52
64100: 136 71 65
64200: 138 100 38
64300: 161 114 47
64400: 141 100 41
64500: 174 122 52
64600: 151 100 51
64700: 162 112 50
64800: 161 110 51
64900: 170 127 43
65000: 155 114 41
65100: 141 96 45
65200: 145 92 53
65300: 135 109 26
65400: 124 96 28
65500: 147 87 60
65600: 138 95 43
65700: 129 101 28
65800: 143 98 45
65900: 127 84 43
66000: 144 106 38
66100: 130 113 17
66200: 137 111 26
66300: 152 88 64
66400: 137 88 49
66500: 130 95 35
66600: 125 75 50
66700: 136 115 21
66800: 134 86 48
66900: 150 93 57
67000: 134 119 15
67100: 131 109 22
67200: 137 105 32
67300: 126 75 51
67400: 135 122 13
67500: 147 122 25
67600: 136 99 37
67700: 136 102 34
67800: 138 90 48
67900: 119 79 40
68000: 115 84 31
68100: 118 111 7
68200: 114 93 21
68300: 128 120 8
68400: 129 101 28
68500: 123 77 46
68600: 118 81 37
68700: 122 93 29
68800: 128 117 11
68900: 128 132 -4
69000: 140 113 27
69100: 121 101 20
69200: 136 106 30
69300: 132 103 29
69400: 124 129 -5
69500: 116 103 13
69600: 144 112 32
69700: 140 103 37
69800: 117 101 16
69900: 115 107 8
70000: 137 110 27
70100: 119 107 12
70200: 119 111 8
70300: 121 116 5
70400: 135 119 16
70500: 125 103 22
70600: 122 110 12
70700: 119 94 25
70800: 119 110 9
70900: 151 133 18
71000: 126 116 10
71100: 127 105 22
