#step: creations deletions netto
100: 0 0 0
200: 0 0 0
300: 0 0 0
400: 0 0 0
500: 0 0 0
600: 0 0 0
700: 0 0 0
800: 0 0 0
900: 0 0 0
1000: 0 0 0
1100: 0 0 0
1200: 0 0 0
1300: 0 0 0
1400: 0 0 0
1500: 0 0 0
1600: 0 0 0
1700: 0 0 0
1800: 0 0 0
1900: 0 0 0
2000: 0 0 0
2100: 0 0 0
2200: 0 0 0
2300: 0 0 0
2400: 0 0 0
2500: 0 0 0
2600: 0 0 0
2700: 0 0 0
2800: 0 0 0
2900: 0 0 0
3000: 0 0 0
3100: 0 0 0
3200: 0 0 0
3300: 0 0 0
3400: 0 0 0
3500: 0 0 0
3600: 0 0 0
3700: 0 0 0
3800: 0 0 0
3900: 0 0 0
4000: 0 0 0
4100: 0 0 0
4200: 0 0 0
4300: 0 0 0
4400: 0 0 0
4500: 0 0 0
4600: 0 0 0
4700: 0 0 0
4800: 0 0 0
4900: 0 0 0
5000: 0 0 0
5100: 0 0 0
5200: 0 0 0
5300: 0 0 0
5400: 0 0 0
5500: 0 0 0
5600: 0 0 0
5700: 0 0 0
5800: 0 0 0
5900: 0 0 0
6000: 0 0 0
6100: 0 0 0
6200: 0 0 0
6300: 0 0 0
6400: 0 0 0
6500: 0 0 0
6600: 0 0 0
6700: 0 0 0
6800: 0 0 0
6900: 0 0 0
7000: 0 0 0
7100: 0 0 0
7200: 0 0 0
7300: 0 0 0
7400: 0 0 0
7500: 0 0 0
7600: 0 0 0
7700: 0 0 0
7800: 0 0 0
7900: 0 0 0
8000: 0 0 0
8100: 0 0 0
8200: 0 0 0
8300: 0 0 0
8400: 0 0 0
8500: 0 0 0
8600: 0 0 0
8700: 0 0 0
8800: 0 0 0
8900: 0 0 0
9000: 0 0 0
9100: 0 0 0
9200: 0 0 0
9300: 0 0 0
9400: 0 0 0
9500: 0 0 0
9600: 0 0 0
9700: 0 0 0
9800: 0 0 0
9900: 0 0 0
10000: 0 0 0
10100: 0 0 0
10200: 0 0 0
10300: 0 0 0
10400: 0 0 0
10500: 0 0 0
10600: 0 0 0
10700: 0 0 0
10800: 0 0 0
10900: 0 0 0
11000: 0 0 0
11100: 0 0 0
11200: 0 0 0
11300: 0 0 0
11400: 0 0 0
11500: 0 0 0
11600: 0 0 0
11700: 0 0 0
11800: 0 0 0
11900: 0 0 0
12000: 0 0 0
12100: 0 0 0
12200: 0 0 0
12300: 0 0 0
12400: 0 0 0
12500: 0 0 0
12600: 0 0 0
12700: 0 0 0
12800: 0 0 0
12900: 0 0 0
13000: 0 0 0
13100: 0 0 0
13200: 0 0 0
13300: 0 0 0
13400: 0 0 0
13500: 0 0 0
13600: 0 0 0
13700: 0 0 0
13800: 0 0 0
13900: 0 0 0
14000: 0 0 0
14100: 0 0 0
14200: 0 0 0
14300: 0 0 0
14400: 0 0 0
14500: 0 0 0
14600: 0 0 0
14700: 0 0 0
14800: 0 0 0
14900: 0 0 0
15000: 0 0 0
15100: 0 0 0
15200: 0 0 0
15300: 0 0 0
15400: 0 0 0
15500: 0 0 0
15600: 0 0 0
15700: 0 0 0
15800: 0 0 0
15900: 0 0 0
16000: 0 0 0
16100: 0 0 0
16200: 0 0 0
16300: 0 0 0
16400: 0 0 0
16500: 0 0 0
16600: 0 0 0
16700: 0 0 0
16800: 0 0 0
16900: 0 0 0
17000: 0 0 0
17100: 0 0 0
17200: 0 0 0
17300: 0 0 0
17400: 0 0 0
17500: 0 0 0
17600: 0 0 0
17700: 0 0 0
17800: 0 0 0
17900: 0 0 0
18000: 0 0 0
18100: 0 0 0
18200: 0 0 0
18300: 0 0 0
18400: 0 0 0
18500: 0 0 0
18600: 0 0 0
18700: 0 0 0
18800: 0 0 0
18900: 0 0 0
19000: 0 0 0
19100: 0 0 0
19200: 0 0 0
19300: 0 0 0
19400: 0 0 0
19500: 0 0 0
19600: 0 0 0
19700: 0 0 0
19800: 0 0 0
19900: 0 0 0
20000: 0 0 0
20100: 0 0 0
20200: 0 0 0
20300: 0 0 0
20400: 0 0 0
20500: 0 0 0
20600: 0 0 0
20700: 0 0 0
20800: 0 0 0
20900: 0 0 0
21000: 0 0 0
21100: 0 0 0
21200: 0 0 0
21300: 0 0 0
21400: 0 0 0
21500: 0 0 0
21600: 0 0 0
21700: 0 0 0
21800: 0 0 0
21900: 0 0 0
22000: 0 0 0
22100: 0 0 0
22200: 0 0 0
22300: 0 0 0
22400: 0 0 0
22500: 0 0 0
22600: 0 0 0
22700: 0 0 0
22800: 0 0 0
22900: 0 0 0
23000: 0 0 0
23100: 0 0 0
23200: 0 0 0
23300: 0 0 0
23400: 0 0 0
23500: 0 0 0
23600: 0 0 0
23700: 0 0 0
23800: 0 0 0
23900: 0 0 0
24000: 0 0 0
24100: 0 0 0
24200: 0 0 0
24300: 0 0 0
24400: 0 0 0
24500: 0 0 0
24600: 0 0 0
24700: 0 0 0
24800: 0 0 0
24900: 0 0 0
25000: 0 0 0
25100: 0 0 0
25200: 0 0 0
25300: 0 0 0
25400: 0 0 0
25500: 0 0 0
25600: 0 0 0
25700: 0 0 0
25800: 0 0 0
25900: 0 0 0
26000: 0 0 0
26100: 0 0 0
26200: 0 0 0
26300: 0 0 0
26400: 0 0 0
26500: 0 0 0
26600: 0 0 0
26700: 0 0 0
26800: 0 0 0
26900: 0 0 0
27000: 0 0 0
27100: 0 0 0
27200: 0 0 0
27300: 0 0 0
27400: 0 0 0
27500: 0 0 0
27600: 0 0 0
27700: 0 0 0
27800: 0 0 0
27900: 0 0 0
28000: 0 0 0
28100: 0 0 0
28200: 0 0 0
28300: 0 0 0
28400: 0 0 0
28500: 0 0 0
28600: 0 0 0
28700: 0 0 0
28800: 0 0 0
28900: 0 0 0
29000: 0 0 0
29100: 0 0 0
29200: 0 0 0
29300: 0 0 0
29400: 0 0 0
29500: 0 0 0
29600: 0 0 0
29700: 0 0 0
29800: 0 0 0
29900: 0 0 0
30000: 0 0 0
30100: 0 0 0
30200: 0 0 0
30300: 0 0 0
30400: 0 0 0
30500: 1 0 1
30600: 3 0 3
30700: 2 0 2
30800: 4 0 4
30900: 10 0 10
31000: 20 0 20
31100: 21 0 21
31200: 34 0 34
31300: 58 0 58
31400: 92 0 92
31500: 113 0 113
31600: 155 0 155
31700: 170 0 170
31800: 252 0 252
31900: 332 0 332
32000: 410 0 410
32100: 507 0 507
32200: 639 0 639
32300: 738 0 738
32400: 874 0 874
32500: 995 0 995
32600: 1094 0 1094
32700: 1382 0 1382
32800: 1548 0 1548
32900: 1702 0 1702
33000: 1781 0 1781
33100: 1886 0 1886
33200: 1964 0 1964
33300: 2002 0 2002
33400: 2173 0 2173
33500: 2202 0 2202
33600: 2230 0 2230
33700: 2133 0 2133
33800: 2114 0 2114
33900: 2074 0 2074
34000: 1879 0 1879
34100: 1840 0 1840
34200: 1789 0 1789
34300: 1670 0 1670
34400: 1406 0 1406
34500: 1412 0 1412
34600: 1209 0 1209
34700: 1027 0 1027
34800: 935 0 935
34900: 850 0 850
35000: 708 0 708
35100: 632 0 632
35200: 547 0 547
35300: 445 0 445
35400: 379 0 379
35500: 303 0 303
35600: 259 0 259
35700: 196 0 196
35800: 157 0 157
35900: 120 0 120
36000: 118 0 118
36100: 119 0 119
36200: 77 0 77
36300: 56 0 56
36400: 41 0 41
36500: 31 0 31
36600: 23 0 23
36700: 16 0 16
36800: 8 0 8
36900: 10 0 10
37000: 6 0 6
37100: 4 0 4
37200: 2 0 2
37300: 2 0 2
37400: 5 0 5
37500: 1 0 1
37600: 3 0 3
37700: 0 0 0
37800: 0 0 0
37900: 0 0 0
38000: 0 0 0
38100: 0 0 0
38200: 0 0 0
38300: 0 0 0
38400: 0 0 0
38500: 0 0 0
38600: 0 0 0
38700: 0 0 0
38800: 0 0 0
38900: 0 0 0
39000: 0 0 0
39100: 0 0 0
39200: 0 0 0
39300: 0 0 0
39400: 0 0 0
39500: 0 0 0
39600: 0 0 0
39700: 0 0 0
39800: 0 0 0
39900: 0 0 0
40000: 0 0 0
40100: 0 0 0
40200: 0 0 0
40300: 0 0 0
40400: 0 0 0
40500: 0 0 0
40600: 0 0 0
40700: 0 0 0
40800: 0 0 0
40900: 0 0 0
41000: 0 0 0
41100: 0 0 0
41200: 1 0 1
41300: 0 0 0
41400: 1 0 1
41500: 1 0 1
41600: 2 0 2
41700: 3 0 3
41800: 7 0 7
41900: 14 0 14
42000: 29 0 29
42100: 26 0 26
42200: 41 0 41
42300: 63 0 63
42400: 77 0 77
42500: 98 0 98
42600: 141 0 141
42700: 180 0 180
42800: 258 0 258
42900: 288 0 288
43000: 368 0 368
43100: 440 0 440
43200: 566 0 566
43300: 661 0 661
43400: 770 0 770
43500: 902 0 902
43600: 1057 0 1057
43700: 1093 0 1093
43800: 1257 0 1257
43900: 1346 0 1346
44000: 1514 0 1514
44100: 1647 0 1647
44200: 1744 0 1744
44300: 1902 0 1902
44400: 1839 0 1839
44500: 1989 0 1989
44600: 1988 0 1988
44700: 1924 0 1924
44800: 1944 0 1944
44900: 1908 0 1908
45000: 1913 0 1913
45100: 1853 0 1853
45200: 1756 0 1756
45300: 1704 0 1704
45400: 1631 0 1631
45500: 1496 0 1496
45600: 1356 0 1356
45700: 1222 0 1222
45800: 1106 0 1106
45900: 1036 0 1036
46000: 935 0 935
46100: 801 0 801
46200: 680 0 680
46300: 681 0 681
46400: 558 0 558
46500: 496 0 496
46600: 391 0 391
46700: 354 0 354
46800: 337 0 337
46900: 275 0 275
47000: 268 0 268
47100: 164 0 164
47200: 168 0 168
47300: 144 0 144
47400: 100 0 100
47500: 94 0 94
47600: 71 0 71
47700: 67 0 67
47800: 52 0 52
47900: 45 0 45
48000: 33 0 33
48100: 32 0 32
48200: 19 0 19
48300: 19 0 19
48400: 13 0 13
48500: 9 0 9
48600: 7 0 7
48700: 4 0 4
48800: 6 0 6
48900: 5 0 5
49000: 2 0 2
49100: 1 0 1
49200: 1 0 1
49300: 1 0 1
49400: 1 0 1
49500: 1 0 1
49600: 1 0 1
49700: 2 0 2
49800: 0 0 0
49900: 0 0 0
50000: 0 0 0
50100: 0 0 0
50200: 0 0 0
50300: 0 0 0
50400: 0 0 0
50500: 0 0 0
50600: 0 0 0
50700: 0 0 0
50800: 0 0 0
50900: 0 0 0
51000: 0 0 0
51100: 0 0 0
51200: 0 0 0
51300: 1 0 1
51400: 0 0 0
51500: 1 0 1
51600: 0 0 0
51700: 1 0 1
51800: 2 0 2
51900: 7 0 7
52000: 11 0 11
52100: 28 0 28
52200: 27 0 27
52300: 39 0 39
52400: 48 0 48
52500: 73 0 73
52600: 85 0 85
52700: 119 0 119
52800: 169 0 169
52900: 213 0 213
53000: 260 0 260
53100: 319 0 319
53200: 387 0 387
53300: 507 0 507
53400: 598 0 598
53500: 670 0 670
53600: 799 0 799
53700: 917 0 917
53800: 1004 0 1004
53900: 1089 0 1089
54000: 1244 0 1244
54100: 1352 0 1352
54200: 1437 0 1437
54300: 1615 0 1615
54400: 1637 0 1637
54500: 1720 0 1720
54600: 1822 0 1822
54700: 1846 0 1846
54800: 1845 0 1845
54900: 1765 0 1765
55000: 1772 0 1772
55100: 1820 0 1820
55200: 1781 0 1781
55300: 1715 0 1715
55400: 1727 0 1727
55500: 1621 0 1621
55600: 1530 0 1530
55700: 1439 0 1439
55800: 1320 0 1320
55900: 1193 0 1193
56000: 1167 0 1167
56100: 1045 0 1045
56200: 895 0 895
56300: 841 0 841
56400: 813 0 813
56500: 724 0 724
56600: 659 0 659
56700: 535 0 535
56800: 498 0 498
56900: 403 0 403
57000: 428 0 428
57100: 366 0 366
57200: 304 0 304
57300: 263 0 263
57400: 228 0 228
57500: 196 0 196
57600: 186 0 186
57700: 149 0 149
57800: 114 0 114
57900: 113 0 113
58000: 67 0 67
58100: 80 0 80
58200: 56 0 56
58300: 55 0 55
58400: 51 0 51
58500: 39 0 39
58600: 24 0 24
58700: 27 0 27
58800: 20 0 20
58900: 18 0 18
59000: 18 0 18
59100: 2 0 2
59200: 7 0 7
59300: 9 0 9
59400: 5 0 5
59500: 3 0 3
59600: 5 0 5
59700: 4 0 4
59800: 5 0 5
59900: 0 0 0
60000: 2 0 2
60100: 0 0 0
60200: 0 0 0
60300: 1 0 1
60400: 0 0 0
60500: 0 0 0
60600: 0 0 0
60700: 0 0 0
60800: 0 0 0
60900: 0 0 0
61000: 0 0 0
61100: 0 0 0
61200: 0 0 0
61300: 0 0 0
61400: 1 0 1
61500: 0 0 0
61600: 1 0 1
61700: 1 0 1
61800: 0 0 0
61900: 4 0 4
62000: 2 0 2
62100: 5 0 5
62200: 16 0 16
62300: 26 0 26
62400: 37 0 37
62500: 47 0 47
62600: 52 0 52
62700: 77 0 77
62800: 103 0 103
62900: 128 0 128
63000: 136 0 136
63100: 222 0 222
63200: 276 0 276
63300: 319 0 319
63400: 409 0 409
63500: 501 0 501
63600: 581 0 581
63700: 681 0 681
63800: 775 0 775
63900: 847 0 847
64000: 911 0 911
64100: 1112 0 1112
64200: 1272 0 1272
64300: 1309 0 1309
64400: 1400 0 1400
64500: 1505 0 1505
64600: 1594 0 1594
64700: 1689 0 1689
64800: 1777 0 1777
64900: 1742 0 1742
65000: 1741 0 1741
65100: 1828 0 1828
65200: 1800 0 1800
65300: 1733 0 1733
65400: 1751 0 1751
65500: 1839 0 1839
65600: 1700 0 1700
65700: 1609 0 1609
65800: 1520 0 1520
65900: 1480 0 1480
66000: 1327 0 1327
66100: 1228 0 1228
66200: 1137 0 1137
66300: 1074 0 1074
66400: 951 0 951
66500: 886 0 886
66600: 769 0 769
66700: 792 0 792
66800: 690 0 690
66900: 556 0 556
67000: 571 0 571
67100: 460 0 460
67200: 401 0 401
67300: 381 0 381
67400: 342 0 342
67500: 242 0 242
67600: 277 0 277
67700: 201 0 201
67800: 171 0 171
67900: 157 0 157
68000: 134 0 134
68100: 110 0 110
68200: 97 0 97
68300: 86 0 86
68400: 72 0 72
68500: 61 0 61
68600: 47 0 47
68700: 44 0 44
68800: 34 0 34
68900: 21 0 21
69000: 25 0 25
69100: 31 0 31
69200: 7 0 7
69300: 8 0 8
69400: 14 0 14
69500: 4 0 4
69600: 6 0 6
69700: 6 0 6
69800: 5 0 5
69900: 4 0 4
70000: 1 0 1
70100: 1 0 1
70200: 5 0 5
70300: 0 0 0
70400: 1 0 1
70500: 2 0 2
70600: 1 0 1
70700: 0 0 0
70800: 1 0 1
70900: 0 0 0
71000: 0 0 0
71100: 0 0 0
71200: 0 0 0
71300: 0 0 0
