#step: creations deletions netto
50000: 7820 32143 -24323
50100: 3045 1151 1894
50200: 1373 446 927
50300: 752 349 403
50400: 535 331 204
50500: 398 239 159
50600: 377 286 91
50700: 334 237 97
50800: 327 218 109
50900: 297 231 66
51000: 273 183 90
51100: 261 168 93
51200: 258 216 42
51300: 261 187 74
51400: 254 198 56
51500: 237 163 74
51600: 242 145 97
51700: 240 190 50
51800: 224 181 43
51900: 240 166 74
52000: 227 167 60
52100: 236 175 61
52200: 232 128 104
52300: 200 126 74
52400: 208 135 73
52500: 226 155 71
52600: 202 158 44
52700: 221 174 47
52800: 192 111 81
52900: 213 153 60
53000: 193 115 78
53100: 215 102 113
53200: 179 127 52
53300: 211 141 70
53400: 195 126 69
53500: 190 124 66
53600: 197 153 44
53700: 182 134 48
53800: 192 108 84
53900: 214 162 52
54000: 188 127 61
54100: 182 88 94
54200: 189 120 69
54300: 190 119 71
54400: 186 122 64
54500: 198 119 79
54600: 185 105 80
54700: 205 122 83
54800: 182 96 86
54900: 173 94 79
55000: 175 123 52
55100: 173 114 59
55200: 161 94 67
55300: 185 115 70
55400: 167 101 66
55500: 169 115 54
55600: 169 117 52
55700: 169 127 42
55800: 168 109 59
55900: 173 98 75
56000: 169 113 56
56100: 184 126 58
56200: 183 143 40
56300: 189 108 81
56400: 163 107 56
56500: 182 123 59
56600: 173 97 76
56700: 158 107 51
56800: 174 100 74
56900: 163 120 43
57000: 174 109 65
57100: 188 127 61
57200: 169 131 38
57300: 193 121 72
57400: 165 87 78
57500: 169 111 58
57600: 165 107 58
57700: 166 117 49
57800: 149 88 61
57900: 159 125 34
58000: 161 101 60
58100: 162 101 61
58200: 170 137 33
58300: 165 101 64
58400: 163 111 52
58500: 150 88 62
58600: 150 95 55
58700: 176 136 40
58800: 160 91 69
58900: 175 98 77
59000: 167 85 82
59100: 165 100 65
59200: 156 81 75
59300: 153 83 70
59400: 158 88 70
59500: 166 102 64
59600: 173 119 54
59700: 151 79 72
59800: 156 125 31
59900: 148 85 63
60000: 177 111 66
60100: 152 78 74
60200: 144 96 48
60300: 172 80 92
60400: 155 94 61
60500: 145 112 33
60600: 154 78 76
60700: 161 84 77
60800: 170 104 66
60900: 169 99 70
61000: 152 88 64
61100: 162 87 75
61200: 152 91 61
61300: 144 64 80
61400: 143 80 63
61500: 167 106 61
61600: 163 95 68
61700: 174 109 65
61800: 140 84 56
61900: 157 85 72
62000: 177 102 75
62100: 165 108 57
62200: 155 101 54
62300: 143 89 54
62400: 152 90 62
62500: 153 87 66
62600: 165 109 56
62700: 153 92 61
62800: 156 95 61
62900: 161 110 51
63000: 149 100 49
63100: 167 103 64
63200: 144 84 60
63300: 134 102 32
63400: 126 115 11
63500: 170 134 36
63600: 155 116 39
63700: 141 99 42
63800: 139 115 24
63900: 144 104 40
64000: 156 120 36
64100: 163 107 56
64200: 144 101 43
64300: 138 84 54
64400: 131 95 36
64500: 133 85 48
64600: 144 103 41
64700: 140 110 30
64800: 141 90 51
64900: 144 80 64
65000: 150 89 61
65100: 142 121 21
65200: 153 102 51
65300: 146 99 47
65400: 135 89 46
65500: 140 116 24
65600: 147 113 34
65700: 135 102 33
65800: 141 76 65
65900: 128 84 44
66000: 127 90 37
66100: 128 91 37
66200: 139 89 50
66300: 133 103 30
66400: 128 79 49
66500: 132 86 46
66600: 135 90 45
66700: 132 91 41
66800: 120 70 50
66900: 125 87 38
67000: 145 97 48
67100: 139 79 60
67200: 130 91 39
67300: 132 86 46
67400: 134 91 43
67500: 118 86 32
67600: 124 73 51
67700: 125 78 47
67800: 132 81 51
67900: 134 80 54
68000: 119 96 23
68100: 129 113 16
68200: 132 88 44
68300: 129 100 29
68400: 147 110 37
68500: 116 98 18
68600: 131 104 27
68700: 113 78 35
68800: 115 73 42
68900: 118 87 31
69000: 131 88 43
69100: 118 86 32
69200: 120 83 37
69300: 127 103 24
69400: 134 103 31
69500: 121 97 24
69600: 132 103 29
69700: 136 75 61
69800: 120 75 45
69900: 127 97 30
70000: 127 78 49
70100: 124 94 30
70200: 124 88 36
70300: 131 104 27
70400: 132 121 11
70500: 150 114 36
70600: 120 96 24
70700: 126 101 25
70800: 132 106 26
70900: 125 99 26
71000: 114 84 30
71100: 124 89 35
71200: 113 73 40
71300: 113 82 31
71400: 118 79 39
71500: 108 93 15
71600: 134 112 22
71700: 124 101 23
71800: 122 90 32
71900: 119 83 36
72000: 104 71 33
72100: 125 101 24
72200: 122 113 9
72300: 134 109 25
72400: 121 101 20
72500: 126 108 18
72600: 104 104 0
72700: 125 103 22
72800: 121 113 8
72900: 118 93 25
73000: 120 112 8
73100: 123 99 24
73200: 122 104 18
73300: 117 108 9
73400: 124 94 30
73500: 106 97 9
73600: 126 103 23
73700: 125 113 12
73800: 123 115 8
73900: 120 96 24
74000: 107 100 7
74100: 108 109 -1
74200: 120 89 31
74300: 112 71 41
74400: 99 96 3
74500: 114 86 28
74600: 102 82 20
74700: 110 95 15
74800: 107 101 6
74900: 109 99 10
75000: 129 113 16
75100: 115 120 -5
75200: 112 123 -11
75300: 119 111 8
75400: 108 95 13
75500: 113 94 19
75600: 109 97 12
75700: 103 109 -6
75800: 91 101 -10
