area	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
0	0.0	0.0	10.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	985.0	0.0	0.0	0.0	0.0	0.0	472.0	0.0	17.0	0.0	2.0	45.0	917.0	2.0	0.0	0.0	0.0	217.0	0.0	0.0	332.0	78.0	325.0	0.0	0.0	4.0	791.0	0.0	401.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	1350.0	0.0	0.0	25.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	30.0	1768.0	1033.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.0	13.0	0.0	0.0	0.0	0.0	1399.0	140.0	0.0
2	13.0	0.0	0.0	246.0	0.0	0.0	328.0	0.0	0.0	0.0	0.0	1035.0	0.0	937.0	0.0	0.0	603.0	0.0	0.0	17.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	1168.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	434.0	353.0	0.0	118.0	2.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0
3	2.0	0.0	219.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	1236.0	739.0	0.0	9.0	0.0	24.0	19.0	944.0	2.0	386.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	10.0	167.0	0.0	2.0	0.0	1.0	0.0	0.0	133.0	1860.0	0.0	0.0	135.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0
4	21.0	0.0	0.0	0.0	0.0	83.0	1.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	360.0	0.0	1225.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	6.0	649.0	2.0	0.0	0.0	181.0	0.0	0.0	2083.0	1652.0	69.0	0.0	1.0	0.0	0.0
5	0.0	23.0	0.0	0.0	111.0	0.0	1562.0	0.0	12.0	1167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	953.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1436.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1812.0	42.0	91.0	0.0	1443.0	15.0	0.0
6	0.0	1.0	377.0	0.0	0.0	1629.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	303.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	571.0	1624.0	0.0	0.0	0.0	0.0	674.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1029.0	0.0	31.0	2.0	0.0	0.0	715.0	0.0	0.0
7	0.0	0.0	0.0	181.0	0.0	0.0	0.0	0.0	10.0	0.0	1088.0	2.0	0.0	0.0	0.0	1168.0	0.0	652.0	34.0	19.0	40.0	0.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	20.0	0.0	1112.0	2.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	1126.0	0.0	0.0	0.0	11.0	0.0	8.0	0.0	1.0	0.0	0.0	7.0	0.0	1995.0	39.0	0.0	0.0	0.0	0.0	2411.0	1.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	455.0	1439.0	1103.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	26.0	1.0	0.0	1.0	0.0	87.0	789.0	0.0
9	0.0	0.0	0.0	0.0	240.0	1094.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	904.0	0.0	0.0	0.0	481.0	19.0	0.0	0.0	0.0	0.0	0.0	1581.0	0.0	1575.0	0.0	3.0	6.0	0.0
10	0.0	0.0	4.0	1149.0	0.0	0.0	0.0	1158.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	85.0	0.0	416.0	3.0	427.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	309.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	895.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	0.0	26.0	1056.0	828.0	0.0	0.0	3.0	1.0	0.0	0.0	181.0	0.0	0.0	1049.0	0.0	0.0	23.0	0.0	0.0	1444.0	237.0	31.0	1.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	65.0	223.0	0.0	660.0	514.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	24.0	37.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	450.0	1.0	885.0	1.0	0.0	0.0	0.0	0.0	9.0	1369.0	0.0	103.0	963.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	392.0
13	0.0	3.0	1011.0	8.0	0.0	0.0	327.0	0.0	0.0	0.0	0.0	1218.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	74.0	10.0	23.0	7.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	1267.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	2090.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.0	11.0	1122.0	0.0	0.0	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	2187.0	0.0
15	0.0	0.0	0.0	24.0	0.0	0.0	0.0	1212.0	64.0	0.0	87.0	0.0	31.0	0.0	0.0	0.0	0.0	741.0	750.0	0.0	3.0	0.0	0.0	615.0	0.0	6.0	6.0	0.0	0.0	52.0	0.0	1082.0	255.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
16	1046.0	0.0	616.0	13.0	3.0	0.0	11.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	939.0	0.0	0.0	0.0	0.0	837.0	56.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	750.0	156.0	14.0	0.0	0.0	0.0	163.0	0.0	178.0	0.0	0.0	0.0
17	0.0	0.0	0.0	921.0	0.0	0.0	0.0	669.0	0.0	0.0	388.0	0.0	0.0	0.0	0.0	706.0	0.0	0.0	456.0	2.0	0.0	0.0	0.0	9.0	0.0	0.0	86.0	0.0	7.0	1107.0	0.0	8.0	1.0	3.0	0.0	0.0	0.0	399.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	1.0	0.0	28.0
18	0.0	0.0	0.0	3.0	0.0	0.0	0.0	43.0	0.0	0.0	4.0	0.0	21.0	0.0	0.0	784.0	0.0	524.0	0.0	0.0	0.0	0.0	0.0	749.0	0.0	100.0	191.0	0.0	0.0	398.0	0.0	15.0	13.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	450.0
19	0.0	20.0	12.0	368.0	0.0	0.0	0.0	15.0	1.0	0.0	423.0	1319.0	0.0	46.0	0.0	0.0	0.0	3.0	0.0	0.0	457.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	35.0	0.0	0.0	0.0	0.0	2.0	23.0	0.0	172.0	1145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	0.0	1490.0	0.0	0.0	0.0	0.0	0.0	18.0	2652.0	0.0	21.0	229.0	0.0	7.0	4.0	1.0	0.0	0.0	0.0	369.0	0.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1584.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	393.0	1272.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0
21	0.0	1134.0	0.0	0.0	0.0	11.0	588.0	0.0	5.0	0.0	0.0	34.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	19.0	270.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1685.0	5.0	0.0	0.0	0.0	0.0	1423.0	0.0	0.0
22	538.0	0.0	75.0	0.0	376.0	950.0	1486.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	880.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1043.0	30.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	12.0	0.0	29.0	1.0	0.0	672.0	1440.0	0.0	1.0	1.0	0.0	0.0
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	16.0	0.0	0.0	0.0	477.0	0.0	1.0	618.0	0.0	25.0	800.0	0.0	0.0	0.0	0.0	0.0	0.0	547.0	16.0	0.0	0.0	16.0	0.0	119.0	389.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.0
24	10.0	0.0	0.0	0.0	1274.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	740.0	0.0	48.0	8.0	1.0	0.0	0.0	403.0	2016.0	4.0	0.0	0.0	1403.0	0.0	0.0	91.0	448.0	7.0	3.0	0.0	0.0	184.0
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	954.0	0.0	0.0	11.0	0.0	1.0	106.0	0.0	0.0	0.0	0.0	550.0	0.0	0.0	11.0	0.0	0.0	2.0	0.0	3.0	60.0	0.0	34.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	932.0
26	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	134.0	172.0	0.0	0.0	0.0	0.0	3.0	815.0	9.0	0.0	0.0	352.0	1466.0	0.0	0.0	0.0	825.0	262.0	3.0	0.0	94.0	302.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	1353.0
27	53.0	0.0	1193.0	1.0	0.0	1.0	602.0	0.0	0.0	0.0	0.0	18.0	0.0	103.0	0.0	0.0	912.0	0.0	0.0	1.0	0.0	0.0	1104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	12.0	0.0	32.0	0.0	0.0	3.0	0.0	8.0	0.0	0.0	0.0
28	887.0	0.0	0.0	12.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	12.0	0.0	0.0	0.0	0.0	25.0	0.0	49.0	0.0	354.0	0.0	0.0	330.0	0.0	0.0	0.0	1173.0	0.0	0.0	66.0	531.0	519.0	0.0	0.0	0.0	164.0	0.0	667.0	0.0	0.0	2.0
29	3.0	0.0	0.0	183.0	0.0	0.0	0.0	19.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	56.0	0.0	1221.0	387.0	0.0	0.0	0.0	0.0	17.0	3.0	1.0	1474.0	0.0	311.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	2.0	783.0	10.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	179.0
30	0.0	272.0	0.0	0.0	1.0	1377.0	0.0	0.0	473.0	916.0	0.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	74.0	593.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	1563.0	0.0	570.0	2647.0	0.0
31	0.0	3.0	0.0	3.0	0.0	0.0	0.0	1264.0	1747.0	0.0	296.0	3.0	10.0	0.0	6.0	1027.0	0.0	6.0	20.0	28.0	1711.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	799.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1355.0	0.0	0.0	0.0	1276.0	0.0	1150.0	283.0	0.0	0.0	15.0	0.0	7.0	0.0	0.0	389.0	0.0	62.0	0.0	0.0	0.0	0.0	11.0	443.0	0.0	0.0	3.0	750.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	282.0	3.0
