area	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
0	0.0	0.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1336.0	0.0	0.0	0.0	0.0	0.0	566.0	0.0	14.0	0.0	1.0	39.0	1130.0	2.0	0.0	0.0	0.0	272.0	0.0	0.0	476.0	85.0	420.0	0.0	0.0	2.0	913.0	0.0	662.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	17.0	0.0	1.0	87.0	0.0	0.0	0.0	0.0	29.0	2394.0	1388.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	437.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.0	13.0	0.0	0.0	0.0	0.0	1821.0	230.0	0.0
2	6.0	0.0	0.0	341.0	0.0	0.0	460.0	0.0	0.0	0.0	1.0	1357.0	0.0	1375.0	0.0	0.0	726.0	0.0	0.0	10.0	1.0	0.0	62.0	0.0	0.0	0.0	0.0	1616.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	536.0	471.0	0.0	158.0	1.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0
3	0.0	0.0	289.0	0.0	0.0	0.0	0.0	251.0	0.0	0.0	1590.0	1038.0	0.0	7.0	0.0	23.0	12.0	1207.0	0.0	412.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	207.0	0.0	1.0	0.0	0.0	0.0	0.0	145.0	2609.0	0.0	0.0	141.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0
4	18.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	302.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	466.0	0.0	1458.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	9.0	925.0	0.0	0.0	0.0	219.0	0.0	0.0	2719.0	2076.0	71.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	5.0	0.0	15.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	3.0	1.0	0.0	0.0	0.0	0.0
6	0.0	0.0	537.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	473.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	660.0	2255.0	0.0	0.0	0.0	0.0	873.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1326.0	0.0	27.0	1.0	0.0	0.0	1102.0	0.0	0.0
7	0.0	0.0	0.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	1477.0	0.0	0.0	0.0	0.0	1486.0	0.0	813.0	36.0	12.0	33.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1522.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	282.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	1.0	0.0	0.0	0.0	0.0	115.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	12.0	23.0	0.0
9	0.0	1.0	0.0	0.0	280.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	1375.0	0.0	0.0	0.0	584.0	15.0	0.0	0.0	0.0	0.0	0.0	2301.0	0.0	2161.0	0.0	3.0	1.0	0.0
10	0.0	0.0	1.0	1545.0	0.0	0.0	0.0	1503.0	0.0	0.0	0.0	174.0	0.0	0.0	0.0	96.0	0.0	481.0	2.0	577.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	402.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	1203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
