area	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
0	0.0	0.0	9.0	0.0	14.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1350.0	0.0	0.0	0.0	0.0	0.0	578.0	0.0	14.0	0.0	0.0	33.0	1089.0	1.0	0.0	0.0	0.0	260.0	0.0	0.0	473.0	76.0	385.0	0.0	0.0	1.0	903.0	0.0	587.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	1644.0	0.0	0.0	17.0	0.0	2.0	51.0	0.0	0.0	0.0	0.0	23.0	2137.0	1465.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.0	16.0	0.0	0.0	0.0	0.0	1825.0	144.0	0.0
2	10.0	0.0	0.0	285.0	0.0	0.0	472.0	0.0	0.0	0.0	0.0	1298.0	0.0	1323.0	0.0	0.0	718.0	0.0	0.0	11.0	1.0	1.0	78.0	0.0	0.0	0.0	0.0	1578.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.0	439.0	0.0	161.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0
3	0.0	0.0	272.0	0.0	0.0	0.0	0.0	225.0	0.0	0.0	1549.0	1097.0	0.0	3.0	0.0	14.0	16.0	1116.0	1.0	417.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	223.0	0.0	2.0	0.0	1.0	0.0	0.0	143.0	2496.0	0.0	0.0	140.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0
4	13.0	0.0	0.0	0.0	0.0	89.0	2.0	0.0	0.0	265.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	441.0	0.0	1461.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	8.0	811.0	0.0	0.0	1.0	224.0	0.0	0.0	2667.0	2059.0	69.0	0.0	1.0	0.0	0.0
5	0.0	12.0	0.0	0.0	102.0	0.0	1936.0	0.0	1.0	1369.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	1180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1672.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2190.0	35.0	77.0	0.0	1925.0	7.0	0.0
6	1.0	0.0	511.0	0.0	2.0	1960.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	419.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	659.0	1988.0	0.0	0.0	0.0	0.0	834.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1296.0	0.0	19.0	0.0	0.0	0.0	955.0	0.0	0.0
7	0.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	4.0	0.0	1408.0	1.0	0.0	0.0	0.0	1439.0	0.0	794.0	35.0	17.0	26.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	1547.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	301.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	1441.0	0.0	1.0	1.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	1.0	2562.0	46.0	0.0	0.0	0.0	0.0	2922.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	563.0	1719.0	1374.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	21.0	1.0	0.0	0.0	0.0	81.0	1089.0	0.0
9	0.0	0.0	0.0	0.0	299.0	1304.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	1169.0	0.0	0.0	0.0	585.0	22.0	0.0	0.0	0.0	0.0	0.0	2067.0	0.0	1969.0	0.0	1.0	2.0	0.0
