area	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
0	0.0	0.0	13.0	0.0	15.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1450.0	0.0	0.0	0.0	0.0	0.0	549.0	0.0	14.0	0.0	0.0	27.0	1126.0	0.0	0.0	0.0	0.0	269.0	0.0	0.0	457.0	76.0	415.0	0.0	0.0	2.0	919.0	0.0	580.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	1668.0	0.0	0.0	18.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	23.0	2193.0	1381.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	354.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0	15.0	0.0	0.0	0.0	0.0	1821.0	151.0	0.0
2	14.0	0.0	0.0	354.0	0.0	0.0	441.0	0.0	0.0	0.0	1.0	1359.0	0.0	1417.0	0.0	0.0	705.0	0.0	0.0	13.0	1.0	0.0	86.0	0.0	0.0	0.0	0.0	1654.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	547.0	455.0	0.0	149.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0
3	0.0	0.0	307.0	0.0	0.0	0.0	0.0	221.0	0.0	0.0	1600.0	1094.0	0.0	7.0	0.0	16.0	9.0	1192.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	8.0	201.0	0.0	1.0	0.0	0.0	0.0	0.0	144.0	2580.0	0.0	0.0	139.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0
4	15.0	0.0	0.0	0.0	0.0	100.0	2.0	0.0	0.0	271.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	476.0	0.0	1527.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	883.0	1.0	0.0	0.0	227.0	0.0	0.0	2733.0	2060.0	71.0	0.0	1.0	0.0	0.0
5	0.0	15.0	0.0	0.0	95.0	0.0	1989.0	0.0	9.0	1443.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	1179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1756.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2322.0	28.0	74.0	0.0	1969.0	11.0	0.0
6	0.0	0.0	536.0	0.0	4.0	2062.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	428.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	675.0	2081.0	0.0	0.0	0.0	0.0	853.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1332.0	0.0	21.0	0.0	0.0	0.0	970.0	0.0	0.0
7	0.0	0.0	0.0	203.0	0.0	0.0	0.0	0.0	8.0	0.0	1469.0	0.0	0.0	0.0	0.0	1474.0	0.0	796.0	36.0	12.0	26.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	1539.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	1496.0	0.0	1.0	1.0	7.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	2612.0	44.0	0.0	0.0	0.0	1.0	2958.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	580.0	1735.0	1456.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	19.0	1.0	0.0	1.0	0.0	79.0	1090.0	0.0
9	0.0	0.0	0.0	0.0	288.0	1333.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	1183.0	0.0	0.0	0.0	587.0	18.0	0.0	0.0	0.0	0.0	0.0	2094.0	0.0	2059.0	0.0	3.0	3.0	0.0
10	0.0	0.0	2.0	1555.0	0.0	0.0	0.0	1481.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	68.0	0.0	457.0	3.0	572.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	391.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	1232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	0.0	15.0	1370.0	1120.0	0.0	0.0	0.0	0.0	1.0	0.0	194.0	0.0	0.0	1514.0	0.0	0.0	12.0	0.0	0.0	2120.0	268.0	31.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	64.0	268.0	0.0	849.0	560.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	36.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	572.0	0.0	1155.0	0.0	0.0	0.0	0.0	0.0	10.0	1763.0	0.0	97.0	1208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	413.0
13	0.0	0.0	1368.0	3.0	0.0	0.0	420.0	0.0	0.0	0.0	0.0	1627.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	76.0	9.0	15.0	3.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	1788.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	2723.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.0	5.0	1395.0	0.0	0.0	321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2855.0	0.0
15	0.0	0.0	0.0	23.0	0.0	0.0	0.0	1468.0	69.0	0.0	71.0	0.0	33.0	0.0	0.0	0.0	0.0	897.0	994.0	0.0	0.0	0.0	0.0	723.0	0.0	7.0	6.0	0.0	0.0	51.0	0.0	1335.0	352.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
16	1381.0	0.0	733.0	15.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1243.0	1.0	0.0	0.0	1.0	1158.0	56.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	1083.0	165.0	17.0	0.0	0.0	0.0	179.0	0.0	262.0	0.0	0.0	0.0
17	0.0	0.0	0.0	1186.0	0.0	0.0	0.0	838.0	0.0	0.0	471.0	0.0	0.0	0.0	0.0	888.0	0.0	0.0	591.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	76.0	0.0	9.0	1515.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	489.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	13.0
18	0.0	0.0	0.0	2.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	1102.0	0.0	618.0	0.0	0.0	0.0	0.0	0.0	961.0	0.0	100.0	223.0	0.0	0.0	574.0	0.0	10.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	619.0
19	0.0	25.0	14.0	452.0	0.0	0.0	0.0	7.0	1.0	0.0	569.0	1876.0	0.0	68.0	0.0	0.0	0.0	1.0	0.0	0.0	586.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	220.0	1625.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	0.0	2044.0	0.0	0.0	0.0	0.0	0.0	16.0	3139.0	0.0	23.0	248.0	1.0	7.0	4.0	1.0	0.0	0.0	0.0	534.0	0.0	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2003.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	490.0	1651.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
21	0.0	1491.0	0.0	0.0	0.0	10.0	618.0	0.0	1.0	0.0	0.0	35.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	14.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2273.0	4.0	0.0	0.0	0.0	0.0	1957.0	0.0	0.0
22	645.0	0.0	83.0	0.0	458.0	1199.0	1836.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1334.0	18.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	13.0	1.0	24.0	0.0	0.0	734.0	1710.0	1.0	2.0	0.0	0.0	0.0
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	5.0	0.0	0.0	0.0	577.0	0.0	0.0	784.0	0.0	7.0	1021.0	0.0	0.0	0.0	0.0	0.0	0.0	754.0	12.0	0.0	0.0	9.0	0.0	115.0	510.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	334.0
24	10.0	0.0	0.0	0.0	1516.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	912.0	0.0	40.0	0.0	1.0	0.0	0.0	460.0	2608.0	4.0	0.0	0.0	1910.0	0.0	0.0	83.0	526.0	6.0	2.0	0.0	0.0	203.0
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1190.0	0.0	0.0	7.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	739.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	44.0	0.0	25.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1216.0
26	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	239.0	0.0	0.0	0.0	0.0	6.0	962.0	4.0	0.0	0.0	451.0	1850.0	0.0	0.0	0.0	1098.0	300.0	2.0	0.0	107.0	406.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	1663.0
27	51.0	0.0	1615.0	1.0	0.0	1.0	795.0	0.0	0.0	0.0	0.0	17.0	0.0	117.0	0.0	0.0	1269.0	0.0	0.0	0.0	0.0	0.0	1361.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	7.0	0.0	24.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0	0.0
28	1078.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	11.0	0.0	0.0	0.0	0.0	13.0	0.0	41.0	0.0	404.0	0.0	0.0	460.0	0.0	0.0	0.0	1623.0	0.0	0.0	77.0	729.0	579.0	0.0	0.0	0.0	170.0	0.0	944.0	0.0	0.0	0.0
29	2.0	0.0	0.0	222.0	0.0	0.0	0.0	10.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	62.0	0.0	1595.0	517.0	0.0	0.0	0.0	0.0	13.0	1.0	1.0	1788.0	0.0	458.0	0.0	0.0	0.0	0.0	187.0	0.0	0.0	0.0	1176.0	5.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	1.0	238.0
30	0.0	322.0	0.0	0.0	0.0	1691.0	0.0	0.0	598.0	1110.0	0.0	0.0	0.0	0.0	217.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	75.0	728.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	2268.0	0.0	770.0	3363.0	0.0
31	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1573.0	1971.0	0.0	389.0	3.0	6.0	0.0	3.0	1367.0	0.0	7.0	8.0	32.0	2086.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	530.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1014.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1594.0	0.0	0.0	0.0	1632.0	0.0	1438.0	367.0	0.0	0.0	8.0	0.0	9.0	0.0	0.0	443.0	0.0	50.0	0.0	0.0	0.0	0.0	4.0	566.0	0.0	0.0	0.0	902.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.0	1.0
33	224.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	486.0	0.0	1118.0	0.0	1567.0	186.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	91.0	1595.0	0.0	0.0	0.0	138.0	0.0	109.0	0.0	0.0	3.0
34	0.0	0.0	0.0	0.0	928.0	1.0	0.0	0.0	0.0	600.0	0.0	0.0	85.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2581.0	26.0	304.0	0.0	0.0	0.0	84.0	0.0	3.0	6.0	0.0	2532.0	0.0	0.0	27.0	0.0	0.0	409.0	7.0	1442.0	0.0	0.0	12.0	1131.0
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	22.0	0.0	0.0	1126.0	0.0	316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	85.0	1.0	0.0	1.0	0.0	732.0	0.0	885.0	0.0	2613.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	898.0	0.0	0.0	1169.0	320.0
36	489.0	0.0	513.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	1.0	0.0	0.0	995.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	99.0	90.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	934.0	1.0	0.0	0.0	0.0	3.0	0.0	773.0	0.0	0.0	0.0
37	81.0	0.0	376.0	2582.0	0.0	0.0	0.0	4.0	0.0	0.0	54.0	269.0	0.0	2.0	0.0	0.0	166.0	505.0	2.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	10.0	737.0	1128.0	0.0	0.0	0.0	98.0	0.0	0.0	865.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1462.0	0.0	0.0	0.0
38	404.0	0.0	0.0	0.0	232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	1978.0	0.0	399.0	0.0	601.0	5.0	0.0	0.0	0.0	1495.0	32.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	1119.0	0.0	9.0	0.0	0.0	4.0
39	0.0	292.0	146.0	0.0	0.0	2.0	1419.0	0.0	0.0	0.0	0.0	888.0	0.0	1828.0	0.0	0.0	0.0	0.0	0.0	236.0	535.0	2228.0	2.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0
40	0.0	11.0	0.0	138.0	0.0	0.0	0.0	282.0	33.0	0.0	1223.0	493.0	0.0	6.0	0.0	3.0	0.0	2.0	0.0	1490.0	1661.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1088.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	0.0	0.0	0.0	0.0	2770.0	2203.0	16.0	0.0	0.0	2157.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	677.0	0.0	84.0	0.0	0.0	0.0	1.0	0.0	24.0	0.0	0.0	0.0	407.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	391.0	329.0	0.0	0.0	0.0	0.0
